Level 1,Level 2,Level 3,Level 4,Full URL,Page Name,Writer,Status,Priority,Research Summary,Writer Brief Link,AI Brief Link,Target Keywords,Volume,Phase,Notes
Kansas Betting,Sportsbook Reviews,Fanatics,,https://www.topendsports.com/sport/betting/kansas/fanatics-review.htm,Fanatics Kansas Review,Tom Goldsmith,Not Started,Medium,,,,fanatics kansas,,PHASE 1,Kansas Brand #6
Kansas Betting,Sportsbook Reviews,Fanatics,Promo Code,https://www.topendsports.com/sport/betting/kansas/fanatics-promo-code.htm,Fanatics Kansas Promo Code,Tom Goldsmith,Not Started,Medium,,,,fanatics promo code kansas,,PHASE 1,Kansas Fanatics Promo
Kentucky Betting,,,,https://www.topendsports.com/sport/betting/kentucky/index.htm,Best Betting Sites in Kentucky,Lewis Humphries,Not Started,High,,,,kentucky sports betting,900,PHASE 1,Kentucky Hub - No License Required - Regulator: Kentucky Horse Racing Commission
Kentucky Betting,Comparison Pages,,,https://www.topendsports.com/sport/betting/kentucky/betting-apps.htm,Best Betting Apps in Kentucky,Lewis Humphries,Not Started,Medium,,,,kentucky betting apps,350,PHASE 1,Kentucky Apps
Kentucky Betting,Comparison Pages,Bonuses,,https://www.topendsports.com/sport/betting/kentucky/bonuses.htm,Best Sportsbook Bonuses & Promo Codes in Kentucky,Lewis Humphries,Not Started,Medium,,,,kentucky sportsbook bonuses promo codes,,PHASE 1,Kentucky Bonuses & Promo Codes - Combined page
Kentucky Betting,Sportsbook Reviews,FanDuel,,https://www.topendsports.com/sport/betting/kentucky/fanduel-review.htm,FanDuel Kentucky Review,Lewis Humphries,Not Started,Critical,,,,fanduel kentucky,,PHASE 1,Kentucky Brand #1
Kentucky Betting,Sportsbook Reviews,FanDuel,Promo Code,https://www.topendsports.com/sport/betting/kentucky/fanduel-promo-code.htm,FanDuel Kentucky Promo Code,Lewis Humphries,Not Started,High,,,,fanduel promo code kentucky,,PHASE 1,Kentucky FanDuel Promo
Kentucky Betting,Sportsbook Reviews,DraftKings,,https://www.topendsports.com/sport/betting/kentucky/draftkings-review.htm,DraftKings Kentucky Review,Lewis Humphries,Not Started,Critical,,,,draftkings kentucky,,PHASE 1,Kentucky Brand #2
Kentucky Betting,Sportsbook Reviews,DraftKings,Promo Code,https://www.topendsports.com/sport/betting/kentucky/draftkings-promo-code.htm,DraftKings Kentucky Promo Code,Lewis Humphries,Not Started,High,,,,draftkings promo code kentucky,,PHASE 1,Kentucky DraftKings Promo
Kentucky Betting,Sportsbook Reviews,BetMGM,,https://www.topendsports.com/sport/betting/kentucky/betmgm-review.htm,BetMGM Kentucky Review,Lewis Humphries,Not Started,High,,,,betmgm kentucky,,PHASE 1,Kentucky Brand #3
Kentucky Betting,Sportsbook Reviews,BetMGM,Promo Code,https://www.topendsports.com/sport/betting/kentucky/betmgm-promo-code.htm,BetMGM Kentucky Promo Code,Lewis Humphries,Not Started,High,,,,betmgm promo code kentucky,,PHASE 1,Kentucky BetMGM Promo
Kentucky Betting,Sportsbook Reviews,Caesars,,https://www.topendsports.com/sport/betting/kentucky/caesars-review.htm,Caesars Kentucky Review,Lewis Humphries,Not Started,High,,,,caesars kentucky,,PHASE 1,Kentucky Brand #4
Kentucky Betting,Sportsbook Reviews,Caesars,Promo Code,https://www.topendsports.com/sport/betting/kentucky/caesars-promo-code.htm,Caesars Kentucky Promo Code,Lewis Humphries,Not Started,Medium,,,,caesars promo code kentucky,,PHASE 1,Kentucky Caesars Promo
Kentucky Betting,Sportsbook Reviews,bet365,,https://www.topendsports.com/sport/betting/kentucky/bet365-review.htm,bet365 Kentucky Review,Lewis Humphries,Not Started,High,,,,bet365 kentucky,,PHASE 1,Kentucky Brand #5
Kentucky Betting,Sportsbook Reviews,bet365,Promo Code,https://www.topendsports.com/sport/betting/kentucky/bet365-promo-code.htm,bet365 Kentucky Promo Code,Lewis Humphries,Not Started,Medium,,,,bet365 promo code kentucky,,PHASE 1,Kentucky bet365 Promo
Kentucky Betting,Sportsbook Reviews,Fanatics,,https://www.topendsports.com/sport/betting/kentucky/fanatics-review.htm,Fanatics Kentucky Review,Lewis Humphries,Not Started,Medium,,,,fanatics kentucky,,PHASE 1,Kentucky Brand #6
Kentucky Betting,Sportsbook Reviews,Fanatics,Promo Code,https://www.topendsports.com/sport/betting/kentucky/fanatics-promo-code.htm,Fanatics Kentucky Promo Code,Lewis Humphries,Not Started,Medium,,,,fanatics promo code kentucky,,PHASE 1,Kentucky Fanatics Promo
Kentucky Betting,Sportsbook Reviews,Circa Sports,,https://www.topendsports.com/sport/betting/kentucky/circa-sports-review.htm,Circa Sports Kentucky Review,Lewis Humphries,Not Started,Medium,,,,circa sports kentucky,,PHASE 1,Kentucky Brand #7
North Carolina Betting,,,,https://www.topendsports.com/sport/betting/north-carolina/index.htm,Best Betting Sites in North Carolina,Tom Goldsmith,Not Started,High,,,,north carolina sports betting,9800,PHASE 1,North Carolina Hub - No License Required - Regulator: North Carolina State Lottery Commission
North Carolina Betting,Comparison Pages,,,https://www.topendsports.com/sport/betting/north-carolina/betting-apps.htm,Best Betting Apps in North Carolina,Tom Goldsmith,Not Started,Medium,,,,north carolina betting apps,3500,PHASE 1,North Carolina Apps
North Carolina Betting,Comparison Pages,Bonuses,,https://www.topendsports.com/sport/betting/north-carolina/bonuses.htm,Best Sportsbook Bonuses & Promo Codes in North Carolina,Tom Goldsmith,Not Started,Medium,,,,north carolina sportsbook bonuses promo codes,,PHASE 1,North Carolina Bonuses & Promo Codes - Combined page
North Carolina Betting,Sportsbook Reviews,FanDuel,,https://www.topendsports.com/sport/betting/north-carolina/fanduel-review.htm,FanDuel North Carolina Review,Tom Goldsmith,Not Started,Critical,,,,fanduel north carolina,,PHASE 1,North Carolina Brand #1
North Carolina Betting,Sportsbook Reviews,FanDuel,Promo Code,https://www.topendsports.com/sport/betting/north-carolina/fanduel-promo-code.htm,FanDuel North Carolina Promo Code,Tom Goldsmith,Not Started,High,,,,fanduel promo code north carolina,,PHASE 1,North Carolina FanDuel Promo
North Carolina Betting,Sportsbook Reviews,DraftKings,,https://www.topendsports.com/sport/betting/north-carolina/draftkings-review.htm,DraftKings North Carolina Review,Tom Goldsmith,Not Started,Critical,,,,draftkings north carolina,,PHASE 1,North Carolina Brand #2
North Carolina Betting,Sportsbook Reviews,DraftKings,Promo Code,https://www.topendsports.com/sport/betting/north-carolina/draftkings-promo-code.htm,DraftKings North Carolina Promo Code,Tom Goldsmith,Not Started,High,,,,draftkings promo code north carolina,,PHASE 1,North Carolina DraftKings Promo
North Carolina Betting,Sportsbook Reviews,BetMGM,,https://www.topendsports.com/sport/betting/north-carolina/betmgm-review.htm,BetMGM North Carolina Review,Tom Goldsmith,Not Started,High,,,,betmgm north carolina,,PHASE 1,North Carolina Brand #3
North Carolina Betting,Sportsbook Reviews,BetMGM,Promo Code,https://www.topendsports.com/sport/betting/north-carolina/betmgm-promo-code.htm,BetMGM North Carolina Promo Code,Tom Goldsmith,Not Started,High,,,,betmgm promo code north carolina,,PHASE 1,North Carolina BetMGM Promo
North Carolina Betting,Sportsbook Reviews,Caesars,,https://www.topendsports.com/sport/betting/north-carolina/caesars-review.htm,Caesars North Carolina Review,Tom Goldsmith,Not Started,High,,,,caesars north carolina,,PHASE 1,North Carolina Brand #4
North Carolina Betting,Sportsbook Reviews,Caesars,Promo Code,https://www.topendsports.com/sport/betting/north-carolina/caesars-promo-code.htm,Caesars North Carolina Promo Code,Tom Goldsmith,Not Started,Medium,,,,caesars promo code north carolina,,PHASE 1,North Carolina Caesars Promo
North Carolina Betting,Sportsbook Reviews,bet365,,https://www.topendsports.com/sport/betting/north-carolina/bet365-review.htm,bet365 North Carolina Review,Tom Goldsmith,Not Started,High,,,,bet365 north carolina,,PHASE 1,North Carolina Brand #5
North Carolina Betting,Sportsbook Reviews,bet365,Promo Code,https://www.topendsports.com/sport/betting/north-carolina/bet365-promo-code.htm,bet365 North Carolina Promo Code,Tom Goldsmith,Not Started,Medium,,,,bet365 promo code north carolina,,PHASE 1,North Carolina bet365 Promo
North Carolina Betting,Sportsbook Reviews,Fanatics,,https://www.topendsports.com/sport/betting/north-carolina/fanatics-review.htm,Fanatics North Carolina Review,Tom Goldsmith,Not Started,Medium,,,,fanatics north carolina,,PHASE 1,North Carolina Brand #6
North Carolina Betting,Sportsbook Reviews,Fanatics,Promo Code,https://www.topendsports.com/sport/betting/north-carolina/fanatics-promo-code.htm,Fanatics North Carolina Promo Code,Tom Goldsmith,Not Started,Medium,,,,fanatics promo code north carolina,,PHASE 1,North Carolina Fanatics Promo
Ohio Betting,,,,https://www.topendsports.com/sport/betting/ohio/index.htm,Best Betting Sites in Ohio,Lewis Humphries,Not Started,High,,,,ohio sports betting,1700,PHASE 1,Ohio Hub - No License Required - Regulator: Ohio Casino Control Commission
Ohio Betting,Comparison Pages,,,https://www.topendsports.com/sport/betting/ohio/betting-apps.htm,Best Betting Apps in Ohio,Lewis Humphries,Not Started,Medium,,,,ohio betting apps,400,PHASE 1,Ohio Apps
Ohio Betting,Comparison Pages,Bonuses,,https://www.topendsports.com/sport/betting/ohio/bonuses.htm,Best Sportsbook Bonuses & Promo Codes in Ohio,Lewis Humphries,Not Started,Medium,,,,ohio sportsbook bonuses promo codes,,PHASE 1,Ohio Bonuses & Promo Codes - Combined page
Ohio Betting,Sportsbook Reviews,FanDuel,,https://www.topendsports.com/sport/betting/ohio/fanduel-review.htm,FanDuel Ohio Review,Lewis Humphries,Not Started,Critical,,,,fanduel ohio,,PHASE 1,Ohio Brand #1
Ohio Betting,Sportsbook Reviews,FanDuel,Promo Code,https://www.topendsports.com/sport/betting/ohio/fanduel-promo-code.htm,FanDuel Ohio Promo Code,Lewis Humphries,Not Started,High,,,,fanduel promo code ohio,,PHASE 1,Ohio FanDuel Promo
Ohio Betting,Sportsbook Reviews,DraftKings,,https://www.topendsports.com/sport/betting/ohio/draftkings-review.htm,DraftKings Ohio Review,Lewis Humphries,Not Started,Critical,,,,draftkings ohio,,PHASE 1,Ohio Brand #2
Ohio Betting,Sportsbook Reviews,DraftKings,Promo Code,https://www.topendsports.com/sport/betting/ohio/draftkings-promo-code.htm,DraftKings Ohio Promo Code,Lewis Humphries,Not Started,High,,,,draftkings promo code ohio,,PHASE 1,Ohio DraftKings Promo
Ohio Betting,Sportsbook Reviews,BetMGM,,https://www.topendsports.com/sport/betting/ohio/betmgm-review.htm,BetMGM Ohio Review,Lewis Humphries,Not Started,High,,,,betmgm ohio,,PHASE 1,Ohio Brand #3
Ohio Betting,Sportsbook Reviews,BetMGM,Promo Code,https://www.topendsports.com/sport/betting/ohio/betmgm-promo-code.htm,BetMGM Ohio Promo Code,Lewis Humphries,Not Started,High,,,,betmgm promo code ohio,,PHASE 1,Ohio BetMGM Promo
Ohio Betting,Sportsbook Reviews,Caesars,,https://www.topendsports.com/sport/betting/ohio/caesars-review.htm,Caesars Ohio Review,Lewis Humphries,Not Started,High,,,,caesars ohio,,PHASE 1,Ohio Brand #4
Ohio Betting,Sportsbook Reviews,Caesars,Promo Code,https://www.topendsports.com/sport/betting/ohio/caesars-promo-code.htm,Caesars Ohio Promo Code,Lewis Humphries,Not Started,Medium,,,,caesars promo code ohio,,PHASE 1,Ohio Caesars Promo
Ohio Betting,Sportsbook Reviews,bet365,,https://www.topendsports.com/sport/betting/ohio/bet365-review.htm,bet365 Ohio Review,Lewis Humphries,Not Started,High,,,,bet365 ohio,,PHASE 1,Ohio Brand #5
Ohio Betting,Sportsbook Reviews,bet365,Promo Code,https://www.topendsports.com/sport/betting/ohio/bet365-promo-code.htm,bet365 Ohio Promo Code,Lewis Humphries,Not Started,Medium,,,,bet365 promo code ohio,,PHASE 1,Ohio bet365 Promo
Ohio Betting,Sportsbook Reviews,BetRivers,,https://www.topendsports.com/sport/betting/ohio/betrivers-review.htm,BetRivers Ohio Review,Lewis Humphries,Not Started,Medium,,,,betrivers ohio,,PHASE 1,Ohio Brand #6
Ohio Betting,Sportsbook Reviews,BetRivers,Promo Code,https://www.topendsports.com/sport/betting/ohio/betrivers-promo-code.htm,BetRivers Ohio Promo Code,Lewis Humphries,Not Started,Medium,,,,betrivers promo code ohio,,PHASE 1,Ohio BetRivers Promo
Ohio Betting,Sportsbook Reviews,Fanatics,,https://www.topendsports.com/sport/betting/ohio/fanatics-review.htm,Fanatics Ohio Review,Lewis Humphries,Not Started,Medium,,,,fanatics ohio,,PHASE 1,Ohio Brand #7
Ohio Betting,Sportsbook Reviews,Fanatics,Promo Code,https://www.topendsports.com/sport/betting/ohio/fanatics-promo-code.htm,Fanatics Ohio Promo Code,Lewis Humphries,Not Started,Medium,,,,fanatics promo code ohio,,PHASE 1,Ohio Fanatics Promo
Ohio Betting,Sportsbook Reviews,Hard Rock Bet,,https://www.topendsports.com/sport/betting/ohio/hard-rock-bet-review.htm,Hard Rock Bet Ohio Review,Lewis Humphries,Not Started,Medium,,,,hard rock bet ohio,,PHASE 1,Ohio Brand #8
Ohio Betting,Sportsbook Reviews,Hard Rock Bet,Promo Code,https://www.topendsports.com/sport/betting/ohio/hard-rock-bet-promo-code.htm,Hard Rock Bet Ohio Promo Code,Lewis Humphries,Not Started,Medium,,,,hard rock bet promo code ohio,,PHASE 1,Ohio Hard Rock Bet Promo
Ohio Betting,Sportsbook Reviews,Bally Bet,,https://www.topendsports.com/sport/betting/ohio/bally-bet-review.htm,Bally Bet Ohio Review,Lewis Humphries,Not Started,Medium,,,,bally bet ohio,,PHASE 1,Ohio Brand #9
Illinois Betting,,,,https://www.topendsports.com/sport/betting/illinois/index.htm,Best Betting Sites in Illinois,Tom Goldsmith,Not Started,High,,,,illinois sports betting,2600,PHASE 1,Illinois Hub - No License Required - Regulator: Illinois Gaming Board
Illinois Betting,Comparison Pages,,,https://www.topendsports.com/sport/betting/illinois/betting-apps.htm,Best Betting Apps in Illinois,Tom Goldsmith,Not Started,Medium,,,,illinois betting apps,450,PHASE 1,Illinois Apps
Illinois Betting,Comparison Pages,Bonuses,,https://www.topendsports.com/sport/betting/illinois/bonuses.htm,Best Sportsbook Bonuses & Promo Codes in Illinois,Tom Goldsmith,Not Started,Medium,,,,illinois sportsbook bonuses promo codes,,PHASE 1,Illinois Bonuses & Promo Codes - Combined page
Illinois Betting,Sportsbook Reviews,FanDuel,,https://www.topendsports.com/sport/betting/illinois/fanduel-review.htm,FanDuel Illinois Review,Tom Goldsmith,Not Started,Critical,,,,fanduel illinois,,PHASE 1,Illinois Brand #1
Illinois Betting,Sportsbook Reviews,FanDuel,Promo Code,https://www.topendsports.com/sport/betting/illinois/fanduel-promo-code.htm,FanDuel Illinois Promo Code,Tom Goldsmith,Not Started,High,,,,fanduel promo code illinois,,PHASE 1,Illinois FanDuel Promo
Illinois Betting,Sportsbook Reviews,DraftKings,,https://www.topendsports.com/sport/betting/illinois/draftkings-review.htm,DraftKings Illinois Review,Tom Goldsmith,Not Started,Critical,,,,draftkings illinois,,PHASE 1,Illinois Brand #2
Illinois Betting,Sportsbook Reviews,DraftKings,Promo Code,https://www.topendsports.com/sport/betting/illinois/draftkings-promo-code.htm,DraftKings Illinois Promo Code,Tom Goldsmith,Not Started,High,,,,draftkings promo code illinois,,PHASE 1,Illinois DraftKings Promo
Illinois Betting,Sportsbook Reviews,BetMGM,,https://www.topendsports.com/sport/betting/illinois/betmgm-review.htm,BetMGM Illinois Review,Tom Goldsmith,Not Started,High,,,,betmgm illinois,,PHASE 1,Illinois Brand #3
Illinois Betting,Sportsbook Reviews,BetMGM,Promo Code,https://www.topendsports.com/sport/betting/illinois/betmgm-promo-code.htm,BetMGM Illinois Promo Code,Tom Goldsmith,Not Started,High,,,,betmgm promo code illinois,,PHASE 1,Illinois BetMGM Promo
Illinois Betting,Sportsbook Reviews,Caesars,,https://www.topendsports.com/sport/betting/illinois/caesars-review.htm,Caesars Illinois Review,Tom Goldsmith,Not Started,High,,,,caesars illinois,,PHASE 1,Illinois Brand #4
Illinois Betting,Sportsbook Reviews,Caesars,Promo Code,https://www.topendsports.com/sport/betting/illinois/caesars-promo-code.htm,Caesars Illinois Promo Code,Tom Goldsmith,Not Started,Medium,,,,caesars promo code illinois,,PHASE 1,Illinois Caesars Promo
Illinois Betting,Sportsbook Reviews,bet365,,https://www.topendsports.com/sport/betting/illinois/bet365-review.htm,bet365 Illinois Review,Tom Goldsmith,Not Started,High,,,,bet365 illinois,,PHASE 1,Illinois Brand #5
Illinois Betting,Sportsbook Reviews,bet365,Promo Code,https://www.topendsports.com/sport/betting/illinois/bet365-promo-code.htm,bet365 Illinois Promo Code,Tom Goldsmith,Not Started,Medium,,,,bet365 promo code illinois,,PHASE 1,Illinois bet365 Promo
Illinois Betting,Sportsbook Reviews,BetRivers,,https://www.topendsports.com/sport/betting/illinois/betrivers-review.htm,BetRivers Illinois Review,Tom Goldsmith,Not Started,Medium,,,,betrivers illinois,,PHASE 1,Illinois Brand #6
Illinois Betting,Sportsbook Reviews,BetRivers,Promo Code,https://www.topendsports.com/sport/betting/illinois/betrivers-promo-code.htm,BetRivers Illinois Promo Code,Tom Goldsmith,Not Started,Medium,,,,betrivers promo code illinois,,PHASE 1,Illinois BetRivers Promo
Illinois Betting,Sportsbook Reviews,Fanatics,,https://www.topendsports.com/sport/betting/illinois/fanatics-review.htm,Fanatics Illinois Review,Tom Goldsmith,Not Started,Medium,,,,fanatics illinois,,PHASE 1,Illinois Brand #7
Illinois Betting,Sportsbook Reviews,Fanatics,Promo Code,https://www.topendsports.com/sport/betting/illinois/fanatics-promo-code.htm,Fanatics Illinois Promo Code,Tom Goldsmith,Not Started,Medium,,,,fanatics promo code illinois,,PHASE 1,Illinois Fanatics Promo
Illinois Betting,Sportsbook Reviews,Hard Rock Bet,,https://www.topendsports.com/sport/betting/illinois/hard-rock-bet-review.htm,Hard Rock Bet Illinois Review,Tom Goldsmith,Not Started,Medium,,,,hard rock bet illinois,,PHASE 1,Illinois Brand #8
Illinois Betting,Sportsbook Reviews,Hard Rock Bet,Promo Code,https://www.topendsports.com/sport/betting/illinois/hard-rock-bet-promo-code.htm,Hard Rock Bet Illinois Promo Code,Tom Goldsmith,Not Started,Medium,,,,hard rock bet promo code illinois,,PHASE 1,Illinois Hard Rock Bet Promo
Missouri Betting,,,,https://www.topendsports.com/sport/betting/missouri/index.htm,Best Betting Sites in Missouri,Lewis Humphries,Not Started,High,,,,missouri sports betting,4200,PHASE 1,Missouri Hub - No License Required - Regulator: Missouri Gaming Commission
Missouri Betting,Comparison Pages,,,https://www.topendsports.com/sport/betting/missouri/betting-apps.htm,Best Betting Apps in Missouri,Lewis Humphries,Not Started,Medium,,,,missouri betting apps,600,PHASE 1,Missouri Apps
Missouri Betting,Comparison Pages,Bonuses,,https://www.topendsports.com/sport/betting/missouri/bonuses.htm,Best Sportsbook Bonuses & Promo Codes in Missouri,Lewis Humphries,Not Started,Medium,,,,missouri sportsbook bonuses promo codes,,PHASE 1,Missouri Bonuses & Promo Codes - Combined page
Missouri Betting,Sportsbook Reviews,FanDuel,,https://www.topendsports.com/sport/betting/missouri/fanduel-review.htm,FanDuel Missouri Review,Lewis Humphries,Not Started,Critical,,,,fanduel missouri,,PHASE 1,Missouri Brand #1
Missouri Betting,Sportsbook Reviews,FanDuel,Promo Code,https://www.topendsports.com/sport/betting/missouri/fanduel-promo-code.htm,FanDuel Missouri Promo Code,Lewis Humphries,Not Started,High,,,,fanduel promo code missouri,,PHASE 1,Missouri FanDuel Promo
Missouri Betting,Sportsbook Reviews,DraftKings,,https://www.topendsports.com/sport/betting/missouri/draftkings-review.htm,DraftKings Missouri Review,Lewis Humphries,Not Started,Critical,,,,draftkings missouri,,PHASE 1,Missouri Brand #2
Missouri Betting,Sportsbook Reviews,DraftKings,Promo Code,https://www.topendsports.com/sport/betting/missouri/draftkings-promo-code.htm,DraftKings Missouri Promo Code,Lewis Humphries,Not Started,High,,,,draftkings promo code missouri,,PHASE 1,Missouri DraftKings Promo
Missouri Betting,Sportsbook Reviews,BetMGM,,https://www.topendsports.com/sport/betting/missouri/betmgm-review.htm,BetMGM Missouri Review,Lewis Humphries,Not Started,High,,,,betmgm missouri,,PHASE 1,Missouri Brand #3
Missouri Betting,Sportsbook Reviews,BetMGM,Promo Code,https://www.topendsports.com/sport/betting/missouri/betmgm-promo-code.htm,BetMGM Missouri Promo Code,Lewis Humphries,Not Started,High,,,,betmgm promo code missouri,,PHASE 1,Missouri BetMGM Promo
Missouri Betting,Sportsbook Reviews,Caesars,,https://www.topendsports.com/sport/betting/missouri/caesars-review.htm,Caesars Missouri Review,Lewis Humphries,Not Started,High,,,,caesars missouri,,PHASE 1,Missouri Brand #4
Missouri Betting,Sportsbook Reviews,Caesars,Promo Code,https://www.topendsports.com/sport/betting/missouri/caesars-promo-code.htm,Caesars Missouri Promo Code,Lewis Humphries,Not Started,Medium,,,,caesars promo code missouri,,PHASE 1,Missouri Caesars Promo
Missouri Betting,Sportsbook Reviews,bet365,,https://www.topendsports.com/sport/betting/missouri/bet365-review.htm,bet365 Missouri Review,Lewis Humphries,Not Started,High,,,,bet365 missouri,,PHASE 1,Missouri Brand #5
Missouri Betting,Sportsbook Reviews,bet365,Promo Code,https://www.topendsports.com/sport/betting/missouri/bet365-promo-code.htm,bet365 Missouri Promo Code,Lewis Humphries,Not Started,Medium,,,,bet365 promo code missouri,,PHASE 1,Missouri bet365 Promo
Missouri Betting,Sportsbook Reviews,Fanatics,,https://www.topendsports.com/sport/betting/missouri/fanatics-review.htm,Fanatics Missouri Review,Lewis Humphries,Not Started,Medium,,,,fanatics missouri,,PHASE 1,Missouri Brand #6
Missouri Betting,Sportsbook Reviews,Fanatics,Promo Code,https://www.topendsports.com/sport/betting/missouri/fanatics-promo-code.htm,Fanatics Missouri Promo Code,Lewis Humphries,Not Started,Medium,,,,fanatics promo code missouri,,PHASE 1,Missouri Fanatics Promo
Missouri Betting,Sportsbook Reviews,theScore Bet,,https://www.topendsports.com/sport/betting/missouri/thescore-bet-review.htm,theScore Bet Missouri Review,Lewis Humphries,Not Started,Medium,,,,thescore bet missouri,,PHASE 1,Missouri Brand #7
Missouri Betting,Sportsbook Reviews,Circa Sports,,https://www.topendsports.com/sport/betting/missouri/circa-sports-review.htm,Circa Sports Missouri Review,Lewis Humphries,Not Started,Medium,,,,circa sports missouri,,PHASE 1,Missouri Brand #8
Michigan Betting,,,,https://www.topendsports.com/sport/betting/michigan/index.htm,Best Betting Sites in Michigan,Tom Goldsmith,Not Started,High,,,,michigan sports betting,1300,PHASE 1,Michigan Hub - Allowed to Operate - Regulator: Michigan Gaming Control Board
Michigan Betting,Comparison Pages,,,https://www.topendsports.com/sport/betting/michigan/betting-apps.htm,Best Betting Apps in Michigan,Tom Goldsmith,Not Started,Medium,,,,michigan betting apps,500,PHASE 1,Michigan Apps
Michigan Betting,Comparison Pages,Bonuses,,https://www.topendsports.com/sport/betting/michigan/bonuses.htm,Best Sportsbook Bonuses & Promo Codes in Michigan,Tom Goldsmith,Not Started,Medium,,,,michigan sportsbook bonuses promo codes,,PHASE 1,Michigan Bonuses & Promo Codes - Combined page
Michigan Betting,Sportsbook Reviews,FanDuel,,https://www.topendsports.com/sport/betting/michigan/fanduel-review.htm,FanDuel Michigan Review,Tom Goldsmith,Not Started,Critical,,,,fanduel michigan,,PHASE 1,Michigan Brand #1
Michigan Betting,Sportsbook Reviews,FanDuel,Promo Code,https://www.topendsports.com/sport/betting/michigan/fanduel-promo-code.htm,FanDuel Michigan Promo Code,Tom Goldsmith,Not Started,High,,,,fanduel promo code michigan,,PHASE 1,Michigan FanDuel Promo
Michigan Betting,Sportsbook Reviews,DraftKings,,https://www.topendsports.com/sport/betting/michigan/draftkings-review.htm,DraftKings Michigan Review,Tom Goldsmith,Not Started,Critical,,,,draftkings michigan,,PHASE 1,Michigan Brand #2
Michigan Betting,Sportsbook Reviews,DraftKings,Promo Code,https://www.topendsports.com/sport/betting/michigan/draftkings-promo-code.htm,DraftKings Michigan Promo Code,Tom Goldsmith,Not Started,High,,,,draftkings promo code michigan,,PHASE 1,Michigan DraftKings Promo
Michigan Betting,Sportsbook Reviews,BetMGM,,https://www.topendsports.com/sport/betting/michigan/betmgm-review.htm,BetMGM Michigan Review,Tom Goldsmith,Not Started,High,,,,betmgm michigan,,PHASE 1,Michigan Brand #3
Michigan Betting,Sportsbook Reviews,BetMGM,Promo Code,https://www.topendsports.com/sport/betting/michigan/betmgm-promo-code.htm,BetMGM Michigan Promo Code,Tom Goldsmith,Not Started,High,,,,betmgm promo code michigan,,PHASE 1,Michigan BetMGM Promo
Michigan Betting,Sportsbook Reviews,Caesars,,https://www.topendsports.com/sport/betting/michigan/caesars-review.htm,Caesars Michigan Review,Tom Goldsmith,Not Started,High,,,,caesars michigan,,PHASE 1,Michigan Brand #4
Michigan Betting,Sportsbook Reviews,Caesars,Promo Code,https://www.topendsports.com/sport/betting/michigan/caesars-promo-code.htm,Caesars Michigan Promo Code,Tom Goldsmith,Not Started,Medium,,,,caesars promo code michigan,,PHASE 1,Michigan Caesars Promo
Michigan Betting,Sportsbook Reviews,bet365,,https://www.topendsports.com/sport/betting/michigan/bet365-review.htm,bet365 Michigan Review,Tom Goldsmith,Not Started,High,,,,bet365 michigan,,PHASE 1,Michigan Brand #5
Michigan Betting,Sportsbook Reviews,bet365,Promo Code,https://www.topendsports.com/sport/betting/michigan/bet365-promo-code.htm,bet365 Michigan Promo Code,Tom Goldsmith,Not Started,Medium,,,,bet365 promo code michigan,,PHASE 1,Michigan bet365 Promo
Michigan Betting,Sportsbook Reviews,BetRivers,,https://www.topendsports.com/sport/betting/michigan/betrivers-review.htm,BetRivers Michigan Review,Tom Goldsmith,Not Started,Medium,,,,betrivers michigan,,PHASE 1,Michigan Brand #6
Michigan Betting,Sportsbook Reviews,BetRivers,Promo Code,https://www.topendsports.com/sport/betting/michigan/betrivers-promo-code.htm,BetRivers Michigan Promo Code,Tom Goldsmith,Not Started,Medium,,,,betrivers promo code michigan,,PHASE 1,Michigan BetRivers Promo
Michigan Betting,Sportsbook Reviews,Fanatics,,https://www.topendsports.com/sport/betting/michigan/fanatics-review.htm,Fanatics Michigan Review,Tom Goldsmith,Not Started,Medium,,,,fanatics michigan,,PHASE 1,Michigan Brand #7
Michigan Betting,Sportsbook Reviews,Fanatics,Promo Code,https://www.topendsports.com/sport/betting/michigan/fanatics-promo-code.htm,Fanatics Michigan Promo Code,Tom Goldsmith,Not Started,Medium,,,,fanatics promo code michigan,,PHASE 1,Michigan Fanatics Promo
Michigan Betting,Sportsbook Reviews,Hard Rock Bet,,https://www.topendsports.com/sport/betting/michigan/hard-rock-bet-review.htm,Hard Rock Bet Michigan Review,Tom Goldsmith,Not Started,Medium,,,,hard rock bet michigan,,PHASE 1,Michigan Brand #8
Michigan Betting,Sportsbook Reviews,Hard Rock Bet,Promo Code,https://www.topendsports.com/sport/betting/michigan/hard-rock-bet-promo-code.htm,Hard Rock Bet Michigan Promo Code,Tom Goldsmith,Not Started,Medium,,,,hard rock bet promo code michigan,,PHASE 1,Michigan Hard Rock Bet Promo
Michigan Betting,Sportsbook Reviews,WynnBET,,https://www.topendsports.com/sport/betting/michigan/wynnbet-review.htm,WynnBET Michigan Review,Tom Goldsmith,Not Started,Medium,,,,wynnbet michigan,,PHASE 1,Michigan Brand #9
Louisiana Betting,,,,https://www.topendsports.com/sport/betting/louisiana/index.htm,Best Betting Sites in Louisiana,Lewis Humphries,Not Started,High,,,,louisiana sports betting,1600,PHASE 1,Louisiana Hub - Allowed to Operate (under $500k) - Regulator: Louisiana Gaming Control Board
